id,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
2169,0,28,7,0,2,2,0,4,0,6,0
2170,0,15,0,0,1,1,0,0,0,14,0
2171,4,68,66,33,94,63,75,37,45,57,14
2172,4,25,22,23,76,42,15,49,22,11,15
2173,4,44,12,13,12,43,4,18,25,11,2
2174,0,58,0,0,17,1,1,0,1,1,0
2175,0,0,0,0,0,0,0,0,0,0,0
2176,15,5,12,12,19,33,16,38,79,81,69
2177,3,35,81,22,52,19,93,45,36,51,190
2178,1,11,19,21,33,26,9,1,36,62,0
2179,0,1,0,0,0,0,0,0,1,6,9
2180,0,5,1,0,0,33,0,12,7,1,6
2181,0,7,1,0,7,0,4,0,1,0,0
2182,0,2,4,1,4,4,7,3,2,3,0
2183,0,0,0,0,2,10,2,14,0,0,8
2184,0,0,0,0,0,0,0,0,0,0,0
2185,0,0,0,0,0,0,0,0,0,0,0
2186,13,4,13,7,30,60,9,8,6,1,3
2187,1,17,0,0,19,0,18,171,1,22,41
2188,0,8,4,0,17,8,0,1,0,6,1
2189,23,87,41,45,106,69,85,52,71,34,44
2190,0,0,0,0,0,0,0,0,0,0,0
2191,5,18,13,0,44,23,9,9,2,0,11
2192,0,0,0,0,1,0,2,0,0,0,0
2193,0,0,0,0,0,0,0,0,0,0,0
